model,source,val_mae,val_rmse,test_mae,test_rmse,run_id
linear_regression,classical,43.58078376982053,54.2960309737221,43.35515664560688,54.25135095785344,f793c6f9bdec43bd99cf916ce08d1431
decision_tree_regressor,classical,56.26802758290633,69.57330391885176,48.16852119251961,63.71410122564979,9ee912358faf4c1bb0efae65572a189f
