model,source,val_accuracy,val_f1,val_roc_auc,test_accuracy,test_f1,test_roc_auc,run_id
logistic_regression,classical,0.7313432835820896,0.7352941176470589,0.8306595365418894,0.7611940298507462,0.7777777777777778,0.8360071301247772,b254fdfc63084822bc5fc209b238ff58
decision_tree_classifier,classical,0.7910447761194029,0.8,0.8400178253119428,0.7014925373134329,0.7222222222222222,0.7780748663101604,36d7e47b5b4b4281987a609f4099c040
