model,source,val_mae,val_rmse,test_mae,test_rmse
linear_regression,classical,43.58078376982053,54.2960309737221,43.35515664560688,54.25135095785344
mlp_regressor,nn,38.9887196830542,51.64568464178485,45.41241558397882,56.48969947777901
