epoch,train_mae,train_rmse,val_mae,val_rmse
1,147.87451626731405,165.80664792920544,159.97718231987037,179.98892493627636
2,147.08274992442182,165.09935555652964,159.21059068737677,179.27851040272486
3,146.08098821989844,164.1899912247777,158.230321128732,178.35983410588008
4,144.771888568365,162.98458017484884,156.94047439612964,177.12568072771413
5,143.05055811060495,161.38038776134374,155.24152211349386,175.48490341384283
6,140.79154079041717,159.2607084814382,152.98995801628095,173.28136426364304
7,137.85046577400226,156.47766472165281,150.0598438878981,170.374804510257
8,134.09602248257897,152.90085731745415,146.31507285695645,166.61849654181108
9,129.38361736780752,148.40336204233824,141.57220409886716,161.83051028755327
10,123.58409078884738,142.89399365266854,135.69109765550778,155.91041619494317
11,116.72891086305376,136.35258606521467,128.60344145612459,148.8140965132693
12,108.87353306654158,128.8404845287156,120.28232953080972,140.58448848861653
13,100.15768347566305,120.53331045739759,110.92296963418585,131.3798108411739
14,91.10673979202305,111.75804448627184,101.46658103786741,121.50340737697653
15,82.20456027777244,103.01455975615636,92.66278360721999,111.42876179762358
16,74.06088136835038,94.90882788391801,84.10421711342701,101.77057387747416
17,67.51620282727976,88.04676971724467,75.97848251661829,93.19522193515893
18,63.00767557316726,82.78497618764868,69.84200354212814,86.18774518706039
19,60.08084663652363,79.06988286945548,64.9972585843782,80.8698046985424
20,58.270386594485025,76.5083645642362,61.5346425268988,76.981410050764
21,56.94537414099368,74.63107918502303,59.328498424695155,74.11219486517653
22,55.962144436172665,73.10366321534588,57.511792887185905,71.88725860906268
23,55.15237145745952,71.75410733998855,55.95964731333653,70.07769797736043
24,54.383155392288316,70.51504253980127,54.80147390108918,68.53394922963275
25,53.62098327846708,69.36994456138923,53.71100815432234,67.16639781303925
26,53.006992825215356,68.30994268349548,52.78881019705558,65.94111559760664
27,52.4455859538964,67.32185928504023,51.96226033050951,64.82184021995414
28,51.893704573258006,66.39896217245479,51.12760628943423,63.78860069938882
29,51.353050832186405,65.53881625490507,50.288517008224666,62.830754174419646
30,50.82630872850872,64.73415884953891,49.45163670076857,61.941450905586265
31,50.31166629824819,63.98337641094619,48.61797303230781,61.11073445247469
32,49.83461700941648,63.28275170825647,47.86540979816052,60.33815793722941
33,49.41177966733517,62.63037285363974,47.20643071828749,59.62488283499354
34,49.0181380439342,62.0239094545516,46.54823069891331,58.96183690189923
35,48.64167797755689,61.44959071814968,45.90346387878782,58.338165379067725
36,48.269576073205634,60.90488846177197,45.276740092426856,57.76363159577961
37,47.91899588695358,60.38833832692299,44.65252778457446,57.22641576153186
38,47.59003130966592,59.89842243035805,44.050626105590524,56.72211723345738
39,47.274981492405196,59.44241435347617,43.509837397450475,56.25152174022124
40,46.97712594554746,59.019292772809465,42.99725432138195,55.81663264608264
41,46.688485966948434,58.62006018800182,42.50531149862839,55.41159852433943
42,46.4143934733788,58.24470715218239,42.11639887106776,55.03110769931874
43,46.15332128552989,57.895393337006475,41.74072758585799,54.68023762120087
44,45.91170962038506,57.568911364325764,41.37882619101846,54.35767748272939
45,45.69077123769196,57.26356384733508,41.02706754689772,54.056870972199874
46,45.48616405492006,56.976057092879465,40.696952328633394,53.77547546115792
47,45.2904485800177,56.70366741635819,40.42148193305626,53.51829035793883
48,45.10233299168147,56.44912909418859,40.1983705950769,53.28519690547011
49,44.92626982621828,56.20853638502467,39.98146249995509,53.06970162608263
50,44.75746026252411,55.981893967399614,39.775676107150716,52.87581270202558
51,44.59812008062924,55.766306222755354,39.58611158538741,52.70177108921904
52,44.44851126269936,55.56193588990641,39.46076400610741,52.542724221853625
53,44.30595588703902,55.370843136290475,39.39253885400693,52.39985335865855
54,44.1740034314123,55.1902848077615,39.337098440890315,52.27208754923055
55,44.04988152222623,55.01902446544173,39.28383982104811,52.15024422081582
56,43.93063882768535,54.85575105234617,39.22944546196637,52.035246729607714
57,43.81708364166331,54.70174357729845,39.16841246533521,51.92437535294769
58,43.70789433527615,54.55648177582901,39.10729100187301,51.82244844575912
59,43.602476121913256,54.41796583150316,39.048021420607434,51.730770740513435
60,43.50588154865807,54.2850273232209,38.9887196830542,51.64568464178485
