epoch,train_accuracy,train_f1,train_roc_auc,val_accuracy,val_f1,val_roc_auc
1,0.5909090909090909,0.6926829268292682,0.7633665036262438,0.6716417910447762,0.75,0.8012477718360071
2,0.7207792207792207,0.7393939393939394,0.8062911114859168,0.7313432835820896,0.7428571428571429,0.8360071301247772
3,0.737012987012987,0.7428571428571429,0.8172120087704504,0.7313432835820896,0.7352941176470589,0.8306595365418894
4,0.75,0.7508090614886731,0.8256029684601113,0.7611940298507462,0.7575757575757576,0.8342245989304813
5,0.7564935064935064,0.7572815533980582,0.8337831000168662,0.7611940298507462,0.7575757575757576,0.838680926916221
6,0.7597402597402597,0.7597402597402597,0.8412464159217405,0.7611940298507462,0.7575757575757576,0.8422459893048129
7,0.7597402597402597,0.7612903225806451,0.8470231067633665,0.7611940298507462,0.7575757575757576,0.8422459893048128
8,0.7597402597402597,0.7612903225806451,0.8542334289087536,0.7761194029850746,0.7761194029850746,0.8449197860962566
9,0.7694805194805194,0.7717041800643086,0.8610220947883285,0.7611940298507462,0.7575757575757576,0.8538324420677362
10,0.7727272727272727,0.7727272727272727,0.8656181480856806,0.7611940298507462,0.7575757575757576,0.855614973262032
11,0.7792207792207793,0.7792207792207793,0.8708888514083319,0.7611940298507462,0.7575757575757576,0.8618538324420677
12,0.788961038961039,0.7909967845659164,0.8742199359082476,0.7611940298507462,0.7575757575757576,0.8618538324420677
13,0.788961038961039,0.7882736156351792,0.8789424860853433,0.7611940298507462,0.7575757575757576,0.8627450980392156
14,0.7954545454545454,0.7947882736156352,0.8815567549333784,0.7611940298507462,0.7575757575757576,0.8645276292335116
15,0.788961038961039,0.7882736156351792,0.8834120425029516,0.7761194029850746,0.7761194029850746,0.8636363636363635
16,0.788961038961039,0.7882736156351792,0.8862371394838928,0.7761194029850746,0.7761194029850746,0.8636363636363636
17,0.7954545454545454,0.7947882736156352,0.8889779052116714,0.7761194029850746,0.7761194029850746,0.8618538324420677
18,0.7954545454545454,0.7947882736156352,0.8914235115533817,0.7761194029850746,0.7761194029850746,0.8609625668449199
19,0.7954545454545454,0.7947882736156352,0.8937426210153483,0.7761194029850746,0.7761194029850746,0.8600713012477719
20,0.7954545454545454,0.7947882736156352,0.8956400742115028,0.7761194029850746,0.7761194029850746,0.8609625668449199
21,0.7987012987012987,0.7973856209150327,0.8975796930342386,0.7761194029850746,0.7761194029850746,0.8609625668449197
22,0.8051948051948052,0.8051948051948052,0.8999831337493676,0.7761194029850746,0.7761194029850746,0.8636363636363636
23,0.8051948051948052,0.8051948051948052,0.9020492494518468,0.7761194029850746,0.7761194029850746,0.8636363636363635
24,0.8051948051948052,0.8051948051948052,0.9039467026480014,0.7611940298507462,0.7647058823529411,0.8618538324420677
25,0.8051948051948052,0.8051948051948052,0.9063079777365493,0.7611940298507462,0.7647058823529411,0.8645276292335116
26,0.8084415584415584,0.8090614886731392,0.908669252825097,0.7611940298507462,0.7647058823529411,0.8645276292335116
27,0.8084415584415584,0.8090614886731392,0.9105245403946702,0.7611940298507462,0.7647058823529411,0.8636363636363635
28,0.8116883116883117,0.8141025641025641,0.9125063248439871,0.7761194029850746,0.7761194029850746,0.8627450980392157
29,0.814935064935065,0.8178913738019169,0.9152049249451847,0.7761194029850746,0.7761194029850746,0.8627450980392157
30,0.8181818181818182,0.8205128205128205,0.9165542249957834,0.7761194029850746,0.7761194029850746,0.8618538324420677
31,0.8214285714285714,0.8242811501597445,0.9188311688311688,0.7611940298507462,0.7647058823529411,0.8600713012477718
32,0.8214285714285714,0.8242811501597445,0.9208129532804857,0.7611940298507462,0.7647058823529411,0.8582887700534758
33,0.827922077922078,0.8317460317460318,0.9227104064766403,0.7761194029850746,0.7761194029850746,0.8556149732620321
34,0.827922077922078,0.8317460317460318,0.9250295159386069,0.7761194029850746,0.7761194029850746,0.8556149732620321
35,0.8344155844155844,0.8370607028753994,0.9268848035081801,0.7761194029850746,0.7761194029850746,0.8538324420677361
36,0.8376623376623377,0.8407643312101911,0.9286135941980098,0.7761194029850746,0.7761194029850746,0.8511586452762924
37,0.8409090909090909,0.8444444444444444,0.9308062067802327,0.7761194029850746,0.7761194029850746,0.8493761140819964
38,0.8409090909090909,0.8444444444444444,0.932661494349806,0.7761194029850746,0.7761194029850746,0.8484848484848484
39,0.8409090909090909,0.8444444444444444,0.9337578006409176,0.7761194029850746,0.7761194029850746,0.8484848484848484
40,0.8409090909090909,0.8444444444444444,0.9351071006915164,0.7761194029850746,0.7761194029850746,0.8475935828877006
